date,precio_btc,usd_invertido,equity_usd
2022-03-06,38419.984375,34000.0,28732.822911771145
2022-03-07,38062.0390625,34000.0,28465.129432883285
2022-03-08,38737.26953125,34000.0,28970.108229695354
2022-03-09,41982.92578125,34000.0,31397.409223716986
2022-03-10,39437.4609375,34000.0,29493.754347917526
2022-03-11,38794.97265625,34000.0,29013.26216895514
2022-03-12,38904.01171875,34000.0,29094.808273781688
2022-03-13,37849.6640625,34000.0,28306.30237021904
2022-03-14,39666.75390625,34000.0,29665.233706204173
2022-03-15,39338.78515625,36000.0,31401.563960050516
2022-03-16,41143.9296875,36000.0,32842.49207285413
2022-03-17,40951.37890625,36000.0,32688.79145274185
2022-03-18,41801.15625,36000.0,33367.11279656525
2022-03-19,42190.65234375,36000.0,33678.02190195579
2022-03-20,41247.82421875,36000.0,32925.424241582485
2022-03-21,41077.99609375,36000.0,32789.86162295505
2022-03-22,42358.80859375,36000.0,33812.249972768965
2022-03-23,42892.95703125,36000.0,34238.625527013864
2022-03-24,43960.93359375,36000.0,35091.120951109355
2022-03-25,44348.73046875,36000.0,35400.673681969056
2022-03-26,44500.828125,36000.0,35522.08323394017
2022-03-27,46820.4921875,36000.0,37373.718436580675
2022-03-28,47128.00390625,36000.0,37619.18480943482
2022-03-29,47465.73046875,36000.0,37888.76970411901
2022-03-30,47062.6640625,36000.0,37567.02831109594
2022-03-31,45538.67578125,36000.0,36350.52873445774
2022-04-01,46281.64453125,38000.0,38973.49900854332
2022-04-02,45868.94921875,38000.0,38625.97072782959
2022-04-03,46453.56640625,38000.0,39118.273402208935
2022-04-04,46622.67578125,38000.0,39260.67940626628
2022-04-05,45555.9921875,38000.0,38362.43146359919
2022-04-06,43206.73828125,38000.0,36384.13864982009
2022-04-07,43503.84765625,38000.0,36634.332696493875
2022-04-08,42287.6640625,38000.0,35610.191688427105
2022-04-09,42782.13671875,38000.0,36026.58418643134
2022-04-10,42207.671875,38000.0,35542.83074065185
2022-04-11,39521.90234375,38000.0,33281.160110243065
2022-04-12,40127.18359375,38000.0,33790.86386938318
2022-04-13,41166.73046875,38000.0,34666.26014176047
2022-04-14,39935.515625,38000.0,33629.46140700949
2022-04-15,40553.46484375,40000.0,36178.55174697526
2022-04-16,40424.484375,40000.0,36063.48570808068
2022-04-17,39716.953125,40000.0,35432.28302196366
2022-04-18,40826.21484375,40000.0,36421.87744126568
2022-04-19,41502.75,40000.0,37025.427896284586
2022-04-20,41374.37890625,40000.0,36910.90549293523
2022-04-21,40527.36328125,40000.0,36155.26602445509
2022-04-22,39740.3203125,40000.0,35453.12935421683
2022-04-23,39486.73046875,40000.0,35226.896816011635
2022-04-24,39469.29296875,40000.0,35211.34047579463
2022-04-25,40458.30859375,40000.0,36093.66096568352
2022-04-26,38117.4609375,40000.0,34005.34426106344
2022-04-27,39241.12109375,40000.0,35007.78381254285
2022-04-28,39773.828125,40000.0,35483.022339517345
2022-04-29,38609.82421875,40000.0,34444.59132706991
2022-04-30,37714.875,40000.0,33646.18934720919
2022-05-01,38469.09375,42000.0,36357.08567549716
2022-05-02,38529.328125,42000.0,36414.01309746132
2022-05-03,37750.453125,42000.0,35677.89944504384
2022-05-04,39698.37109375,42000.0,37518.87394106207
2022-05-05,36575.140625,42000.0,34567.113276394295
2022-05-06,36040.921875,42000.0,34062.22389715835
2022-05-07,35501.953125,42000.0,33552.84529969228
2022-05-08,34059.265625,42000.0,32189.36339961584
2022-05-09,30296.953125,42000.0,28633.60721805791
2022-05-10,31022.90625,42000.0,29319.704481839177
2022-05-11,28936.35546875,42000.0,27347.708312312
2022-05-12,29047.751953125,42000.0,27452.988970928272
2022-05-13,29283.103515625,42000.0,27675.419397214948
2022-05-14,30101.265625,42000.0,28448.663240709244
2022-05-15,31305.11328125,44000.0,31664.50946935409
2022-05-16,29862.91796875,44000.0,30205.757133304694
2022-05-17,30425.857421875,44000.0,30775.159373890925
2022-05-18,28720.271484375,44000.0,29049.992574986136
2022-05-19,30314.333984375,44000.0,30662.35559927917
2022-05-20,29200.740234375,44000.0,29535.977313243446
2022-05-21,29432.2265625,44000.0,29770.121204149928
2022-05-22,30323.72265625,44000.0,30671.85205715235
2022-05-23,29098.91015625,44000.0,29432.97818194864
2022-05-24,29655.5859375,44000.0,29996.044841008083
2022-05-25,29562.361328125,44000.0,29901.749972952148
2022-05-26,29267.224609375,44000.0,29603.22495751287
2022-05-27,28627.57421875,44000.0,28956.231104813654
2022-05-28,28814.900390625,44000.0,29145.707861850227
