planned_date,execution_date,monto_usd,comision_usd,precio_btc,btc_comprado,usd_acumulado,btc_acumulado,equity_usd,drawdown_pct
2025-01-15,2025-01-15,2000.0,2.0,96534.046875,0.020697360824281717,172000.0,4.971320678294987,479901.7033891851,179.0126182495262
2025-02-01,2025-02-01,2000.0,2.0,102402.796875,0.019511185836446423,174000.0,4.990831864131433,511075.14161992876,193.72134575857976
2025-02-15,2025-02-15,2000.0,2.0,97508.3828125,0.020490545965078485,176000.0,5.011322410096511,488645.9439605507,177.63974088667652
2025-03-01,2025-03-01,2000.0,2.0,84373.8671875,0.023680317930194435,178000.0,5.035002728026706,424822.6514632255,138.66441093439633
2025-03-15,2025-03-15,2000.0,2.0,83968.40625,0.0237946638411992,180000.0,5.0587973918679054,424779.1545368047,135.98841918711372
2025-04-01,2025-04-01,2000.0,2.0,82551.921875,0.024202949545201004,182000.0,5.083000341413107,419611.44707493315,130.55574015106217
2025-04-15,2025-04-15,2000.0,2.0,84539.6953125,0.023633868002651492,184000.0,5.106634209415758,431713.30013639753,134.62679355238996
2025-05-01,2025-05-01,2000.0,2.0,94212.859375,0.021207296044877103,186000.0,5.127841505460635,483108.6106512511,159.73581217809198
2025-05-15,2025-05-15,2000.0,2.0,103538.828125,0.019297108497189686,188000.0,5.147138613957825,532928.70028613,183.47271291815423
2025-06-01,2025-06-01,2000.0,2.0,104637.296875,0.019094529958919106,190000.0,5.166233143916744,540580.6712054809,184.5161427397268
2025-06-15,2025-06-15,2000.0,2.0,105464.84375,0.018944701655616875,192000.0,5.185177845572361,546853.9712992507,184.81977671835978
2025-07-01,2025-07-01,2000.0,2.0,107144.3828125,0.01864773446403112,194000.0,5.203825580036392,557560.680036899,187.40241239015415
2025-07-15,2025-07-15,2000.0,2.0,119853.8515625,0.016670302822584773,196000.0,5.220495882858978,625696.5386268223,219.2329278708277
2025-08-01,2025-08-01,2000.0,2.0,115738.953125,0.01726298662682845,198000.0,5.237758869485806,606212.7282754708,206.1680445835711
2025-08-15,2025-08-15,2000.0,2.0,118365.78125,0.016879878448823233,200000.0,5.25463874793463,621969.4205858043,210.98471029290215
2025-09-01,2025-09-01,2000.0,2.0,108228.75,0.01846089879075569,202000.0,5.2730996467253854,570700.9833905301,182.52523930224262
2025-09-15,2025-09-15,2000.0,2.0,115399.6328125,0.01731374659784514,204000.0,5.290413393323231,610511.763015833,199.2704720665848
2025-10-01,2025-10-01,2000.0,2.0,114057.59375,0.01751746581976266,206000.0,5.307930859142994,605409.82158522,193.88826290544662
2025-10-15,2025-10-15,2000.0,2.0,113113.96875,0.017663600898098628,208000.0,5.325594460041093,602399.1253282613,189.6149641001256
